"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/30/2018",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/01/2018",74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/02/2018",87,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/03/2018",74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/04/2018",74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/05/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/06/2018",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/07/2018",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/08/2018",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/09/2018",67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/10/2018",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/11/2018",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/12/2018",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/13/2018",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/14/2018",64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/15/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/16/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/17/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/18/2018",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/19/2018",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/20/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/21/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/22/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/23/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/24/2018",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/25/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/26/2018",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/27/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/28/2018",19,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
